Lat,Lon,stat eng,Oct,Sep
120.3538521,22.56481191,Siaogang,13260,14122
120.3421469,22.57011232,Kaohsiung International Airport,6009,6221
120.3284408,22.58035095,Caoya,8230,8899
120.3219713,22.58853833,Cianjhen Senior High School,7692,8241
120.3151478,22.59683914,Kaisyuan,9136,9850
120.307702,22.60583276,Shihjia,6434,6984
120.3046764,22.61383541,Sanduo Shopping District,18532,19725
120.3006424,22.6245709,Central Park,13241,13633
120.3027023,22.63966255,Kaohsiung Main Station,25389,27750
120.3033675,22.64829692,Houyi,9931,10804
120.3030886,22.65718817,Aozaidi,17675,16345
120.3028955,22.66657386,Kaohsiung Arena,26697,26281
120.3066935,22.67681026,Ecological District,7919,8486
120.3095473,22.68801596,Zuoying,35602,39667
120.3025307,22.70217026,World Games,2463,8004
120.3023161,22.70848479,Oil Refinery Elementary School,6268,7114
120.3072728,22.71863888,Nanzih Technology Industrial Park,8545,9047
120.3163923,22.72291407,Houjing,3624,3913
120.3210486,22.72932659,Metropolitan Park,6549,7055
120.3177012,22.74466397,Cingpu,3106,3318
120.3146113,22.75339067,Ciaotou Sugar Refinery,1772,1768
120.310985,22.76045473,Ciaotou Station,4016,4176
120.30165,22.78058,Kaohsiung Medical University Gangshan Hospital,7245,7657
120.2745284,22.62154049,Hamasen,7486,7730
120.2837767,22.62350135,Yanchengpu,6334,6614
120.2949347,22.62898766,Cianjin,6120,6799
120.3116502,22.63073055,Sinyi Elementary School,5297,5898
120.3174438,22.63039386,Cultual Center,5789,6187
120.3277005,22.62952241,Wukuaicuo,3833,4067
120.3346313,22.62722493,Lingya Sports Park,3188,3424
120.3410901,22.62508586,Weiwuying,5567,5051
120.3483428,22.62530373,Fongshan West,4357,4627
120.3553595,22.62597715,Fongshan,3085,3073
120.3632344,22.62538296,Dadong,3701,3677
120.3724827,22.6248878,Fongshan Junior High School,3365,3464
120.389799,22.62239218,Daliao,6097,6396
120.301951,22.631386,Formosa Boulevard,16159,17885
